ASV,Taxonomy
g__Octadecabacter,g__Octadecabacter;p__Pseudomonadota
g__Olleya,g__Olleya;p__Bacteroidota
g__Opitutus,g__Opitutus;p__Verrucomicrobiota
g__Ornatilinea,g__Ornatilinea;p__Chloroflexota
g__Oscillatoria,g__Oscillatoria;p__Cyanobacteriota
g__Oscillochloris,g__Oscillochloris;p__Chloroflexota
g__Owenweeksia,g__Owenweeksia;p__Bacteroidota
g__Paenibacillus,g__Paenibacillus;p__Bacillota
g__Palleronia,g__Palleronia;p__Pseudomonadota
g__Paludibacter,g__Paludibacter;p__Bacteroidota
g__Paludibaculum,g__Paludibaculum;p__Acidobacteriota
g__Paraburkholderia,g__Paraburkholderia;p__Pseudomonadota
g__Paracoccus,g__Paracoccus;p__Pseudomonadota
g__Paracrocinitomix,g__Paracrocinitomix;p__Bacteroidota
g__Paraglaciecola,g__Paraglaciecola;p__Pseudomonadota
g__Paraliomyxa,g__Paraliomyxa;p__Myxococcota
g__Pararhodobacter,g__Pararhodobacter;p__Pseudomonadota
g__Paremcibacter,g__Paremcibacter;p__Pseudomonadota
g__Parvibaculum,g__Parvibaculum;p__Pseudomonadota
g__Parvicella,g__Parvicella;p__Bacteroidota
g__Patiriisocius,g__Patiriisocius;p__Bacteroidota
g__Pedobacter,g__Pedobacter;p__Bacteroidota
g__Pedosphaera,g__Pedosphaera;p__Verrucomicrobiota
g__Pelagibius,g__Pelagibius;p__Pseudomonadota
g__Pelagicola,g__Pelagicola;
g__Pelagimonas,g__Pelagimonas;p__Pseudomonadota
g__Pelagivirga,g__Pelagivirga;p__Pseudomonadota
g__Persicimonas,g__Persicimonas;p__unclassified_d__Bacteria
g__Phaeobacter,g__Phaeobacter;p__Pseudomonadota
g__Phaeodactylibacter,g__Phaeodactylibacter;p__Bacteroidota
g__Phenylobacterium,g__Phenylobacterium;p__Pseudomonadota
g__Photobacterium,g__Photobacterium;p__Pseudomonadota
g__Phototrophicus,g__Phototrophicus;p__Chloroflexota
g__Phycisphaera,g__Phycisphaera;p__Planctomycetota
g__Phytoactinopolyspora,g__Phytoactinopolyspora;p__Actinomycetota
g__Pirellula,g__Pirellula;p__Planctomycetota
g__Planctomyces,g__Planctomyces;p__Planctomycetota
g__Planktotalea,g__Planktotalea;p__Pseudomonadota
g__Planococcus,g__Planococcus;p__Bacillota
g__Pleurocapsa,g__Pleurocapsa;p__Cyanobacteriota
g__Pokkaliibacter,g__Pokkaliibacter;
g__Polaribacter,g__Polaribacter;p__Bacteroidota
g__Polaromonas,g__Polaromonas;p__Pseudomonadota
g__Polyangium,g__Polyangium;p__Myxococcota
g__Pontibaca,g__Pontibaca;p__Pseudomonadota
g__Pontibacter,g__Pontibacter;p__Bacteroidota
g__Pontiella,g__Pontiella;p__Kiritimatiellota
g__Poriferisphaera,g__Poriferisphaera;p__Planctomycetota
g__Portibacter,g__Portibacter;p__Bacteroidota
g__Porticoccus,g__Porticoccus;p__Pseudomonadota
g__Povalibacter,g__Povalibacter;p__Pseudomonadota
g__Primorskyibacter,g__Primorskyibacter;p__Pseudomonadota
g__Profundirhabdus,g__Profundirhabdus;p__Actinomycetota
g__Prolixibacter,g__Prolixibacter;p__Bacteroidota
g__Prosthecobacter,g__Prosthecobacter;p__Verrucomicrobiota
g__Pseudaestuariivita,g__Pseudaestuariivita;p__Pseudomonadota
g__Pseudidiomarina,g__Pseudidiomarina;p__Pseudomonadota
g__Pseudoalteromonas,g__Pseudoalteromonas;p__Pseudomonadota
