Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Phenylobacterium,0.000151001,0.0001188,8.48E-05,0.000101059,0.000128883,0.000102099
g__Photobacterium,0.000164129,0.000154408,0.000185135,0.000206047,0.000125513,0.000179474
g__Phototrophicus,0.001075779,0.000821322,0.000457211,0.000468945,0.000736511,0.000495258
g__Phycisphaera,0.003485589,0.002547829,0.001457134,0.001442842,0.003831821,0.001707419
g__Phytoactinopolyspora,0.000220065,0.000158004,0.000109368,8.75E-05,0.000141065,9.20E-05
g__Pirellula,0.000359391,0.000302334,0.000144069,0.000139928,0.000198035,0.000130824
g__Planctomyces,0.000267833,0.000213096,0.000123158,0.000122287,0.000179763,0.000106442
g__Planktotalea,0.000247434,0.000192862,0.000211198,0.000135357,0.000157064,0.00012271
g__Planococcus,3.91E-05,2.66E-05,1.44E-05,1.29E-05,1.66E-05,1.46E-05
g__Pleurocapsa,0.000304781,0.000236256,0.000145206,0.000163249,0.000221627,0.000163016
g__Pokkaliibacter,0.000156475,0.000146227,0.000287911,0.000261873,0.000247534,0.000245
g__Polaribacter,0.000755089,0.001015251,0.000320263,0.000251494,0.000925044,0.000524021
g__Polaromonas,0.000100539,8.11E-05,0.000112588,0.000138774,8.62E-05,8.64E-05
g__Polyangium,0.000652284,0.000681497,0.000816835,0.000337646,0.000456858,0.000380472
g__Pontibaca,0.000162633,0.000135873,0.00018646,0.000147872,0.000130467,0.000108271
g__Pontibacter,0.000395185,0.000577083,0.000119786,0.000146847,0.000480368,0.000260239
g__Pontiella,0.000511974,0.000393548,2.95E-05,3.43E-05,0.000782964,0.000339289
g__Poriferisphaera,0.000210187,0.000120657,4.11E-05,7.77E-05,0.000460309,6.08E-05
g__Portibacter,0.000121151,0.000215744,3.04E-05,3.34E-05,0.000180818,9.04E-05
g__Porticoccus,0.000149461,0.000112951,7.36E-05,0.000100632,0.000152597,0.000140958
g__Povalibacter,0.000135178,0.000121882,7.94E-05,9.57E-05,0.000132497,9.63E-05
g__Primorskyibacter,0.000796955,0.000648221,0.000750123,0.000563853,0.000577376,0.000491943
g__Profundirhabdus,0.000255987,0.000203809,8.05E-05,9.11E-05,0.000161855,8.99E-05
g__Prolixibacter,0.00011927,0.000142828,9.41E-05,8.24E-05,0.000125066,8.08E-05
g__Prosthecobacter,0.000252395,0.000244357,4.04E-05,4.89E-05,0.000361555,0.000167854
g__Pseudaestuariivita,0.000153652,0.000118918,0.000137932,9.25E-05,0.000104723,8.00E-05
g__Pseudidiomarina,5.22E-05,0.00012623,0.00320324,0.006154633,0.000157307,0.002340358
g__Pseudoalteromonas,0.000511162,0.000534677,0.001910708,0.00215397,0.000506681,0.001801747
g__Pseudodonghicola,0.000237898,0.000200489,0.000231428,0.000192977,0.000193569,0.000151968
g__Pseudohalocynthiibacter,0.001039899,0.000963202,0.000283138,0.000181615,0.000337638,0.000181721
g__Pseudomaricurvus,0.000106269,8.03E-05,6.71E-05,8.21E-05,9.34E-05,9.89E-05
g__Pseudomonas,0.001052643,0.000878074,0.001169412,0.00137574,0.000954402,0.001147702
